818476875869802000, u'Mikl\xf3s Jord\xe1n',8.36293E+17, u'@ALALibrary @mauraweb Yes  a way to foster more equality  but rarely used  unfortunately.',0,0
153960440, u'M. D. Birmingham',8.37815E+17, u'@BeineckeLibrary Simple logic identifies Love is continual belief in the variable Hope  so Hate needs Love to exist. https://t.co/W1Lf3OKhhI',0,0
128327497, u'Librarian McPickles',8.39897E+17, u'@ALALibrary campaign platform e-mails went out. Still voting for Scott Walter @slwalter123 #walter4ala #ala',0,0
102080846, u'Andromeda Yelton',8.39541E+17," u""@ALALibrary you're welcome! Thanks for putting the data out in a spreadsheet so I can do this :)""",0,0
94654133, u'Texas State Library',8.37321E+17, u'On this day  March 2  1836 a convention of American Texans meet at Washington-on-the-Brazos and declared the indepe\u2026 https://t.co/J9IwN0n89D',0,0
94654133, u'Texas State Library',8.37762E+17, u'Thanks to our generous donors who helped the Friends of Libraries and Archives of Texas make our #amplifyatx  goal!\u2026 https://t.co/pto72YF3kq',0,0
94654133, u'Texas State Library',8.39553E+17, u'Wax From the Stacks feat. @AustinPublicLib @TXLA @TSLAC w/ treats from @indybrewing @BuddhasBrew @LoveLittleLucys\u2026 https://t.co/f3bAKQtDA7',0,0
94654133, u'Texas State Library',8.39565E+17, u'@ALALibrary President  Julie Todaro  Leads Library Training at the Dustin Sekula Public Library in Edinburgh  Texas\u2026 https://t.co/caE6c5CRd2',0,0
94654133, u'Texas State Library',8.39566E+17, u'Library training led by @ALALibrary President Julie Todaro at the Dustin Sekula Public Library in Edinburgh  Texas\u2026 https://t.co/e6ZCSWvPEs',0,0
94654133, u'Texas State Library',8.39578E+17, u'Suffragists registered more than 386 000 women to cast their first votes in a Texas election in 1918!\u2026 https://t.co/CDZlYuE3sU',0,0
94654133, u'Texas State Library',8.39616E+17, u'Looking forward to serving @BuddhasBrew at Wax from the Stacks this Friday! https://t.co/0rHFUCaDRG https://t.co/lHrUAkjTNG',0,0
94654133, u'Texas State Library',8.39617E+17, u'Looking forward to serving up some @indybrewing this Friday at Wax From the Stacks at @FlatTrackCoffee\u2026 https://t.co/e8Gfx9nAIl',0,0
93055120, u'Joyce Mooney',8.39613E+17, u'@ALALibrary @LibnOfCongress ok suckups  many came before her!',0,0
90643265, u'Michael Kelleher',8.37358E+17, u'@BeineckeLibrary @luxlotus @WindhamCampbell Aww  shucks!',0,0
87006261, u'Robert M. Jimison',8.36593E+17, u'@ALALibrary https://t.co/mB630sYtYE',0,0
56901042, u'Terrie Stinson',8.36253E+17, u'@ALALibrary loving it',0,0
55295077, u'UVALibrary',8.36232E+17, u'Very excited that Amanda Visconti &amp; Brandon Walsh will be joining @scholarslab. Welcome @Literature_Geek &amp; @walshbr! https://t.co/iT2DZ5nj3h',0,0
55295077, u'UVALibrary',8.36245E+17, u'@MelissaAndWork @UVA not having a problem here and have not heard other reports.... still having access issues?',0,0
55295077, u'UVALibrary',8.36292E+17," u""Congrats to @johnobrienuva on winning the Gottschalk Prize! Read about John's book &amp; some of its sources in @RareUVA https://t.co/3oxxuKWwBq""",0,0
55295077, u'UVALibrary',8.36584E+17, u'6th? Librarians  what are the top 5? https://t.co/P1RUHD355f',0,0
55295077, u'UVALibrary',8.36601E+17, u'#BlackHistoryMonth UVA Today on rediscovering Black History on Grounds https://t.co/a2rWmQ9GSN (the Library is another good place to start)',0,0
55295077, u'UVALibrary',8.36603E+17, u'@iikaylaa_ Congrats! See you in the Library!',0,0
55295077, u'UVALibrary',8.373E+17," u""It's #DrSeussDay! Cue myths about 'Hooville. We have a nice round 100 Virgo entries: https://t.co/sRnly4cmQK""",0,0
55295077, u'UVALibrary',8.37315E+17, u'@Jason_W_Dean @AmAntiquarian we used that image in an annual report a few years back... https://t.co/snAx6cSW5w',0,0
55295077, u'UVALibrary',8.37739E+17, u'Congratulations to 3rd year Alderman Library student worker Bryanna Miller  appointed as student BOV member! https://t.co/AYZXT8lTNt',0,0
39024419, u'Bijou Art Cinemas',8.39277E+17," u""@EugenePublicLib We're very excited!""",0,0
35066660, u'Eugene Library',8.36302E+17, u'Tweens: Noisy Science @ Sheldon Branch #Eugene Library Wed. 3/1  4pm! Play a banana piano &amp; more. #free #STEM #STEAM https://t.co/ISm4IAHvXL',0,0
35066660, u'Eugene Library',8.36302E+17," u'Coming up Friday: Ayana Mathis  author of ""12 Tribes of Hattie "" 3/3  6pm #Eugene Library #free (thanks @uoregon)\u2026 https://t.co/17mjP4swD3'",0,0
35066660, u'Eugene Library',8.36302E+17, u'ICYMI: All #Eugene Library locations are open - w/new carpet @ Bethel &amp; Sheldon! Details: https://t.co/ge6vCrkYIs https://t.co/VhKA9lj6Ap',0,0
35066660, u'Eugene Library',8.36312E+17," u""Thank you for great story &amp; photo! (To sign up for #Eugene's @dollyslibrary: https://t.co/Fy0jE3E3iK. For luncheon:\u2026 https://t.co/D9oECd5a3g""",0,0
35066660, u'Eugene Library',8.36337E+17, u'You  too  #Eugene @ https://t.co/4AcDgzTVRV! A bazillion choices - #free with your library card. https://t.co/EHMkr9Ugf7',0,0
35066660, u'Eugene Library',8.36665E+17, u'Check it out: you may learn something new you can do/get @ #Eugene Library  - thanks @KVALnews &amp; @cjohnwalker! https://t.co/fF2jWsShHT',0,0
35066660, u'Eugene Library',8.36668E+17, u'Today at Sheldon Branch: Make Buttons! All ages: drop in 6p-7:30p  #Eugene Library #free https://t.co/GelsGpT6Gj',0,0
35066660, u'Eugene Library',8.36668E+17, u'Tweens: Noisy Science @ Sheldon Branch #Eugene Library Wed. 3/1  4pm! Play a banana piano &amp; more. #free #STEM #STEAM https://t.co/ZGJ423LQ0x',0,0
35066660, u'Eugene Library',8.36668E+17," u'Coming up Friday: Ayana Mathis  author of ""12 Tribes of Hattie "" 3/3  6pm #Eugene Library #free (thanks @uoregon)\u2026 https://t.co/MoWxDD1vzJ'",0,0
35066660, u'Eugene Library',8.37363E+17, u'https://t.co/Eny2obCiUM',0,0
35066660, u'Eugene Library',8.37364E+17, u'#happybirthdaydrseuss https://t.co/xFnD9GFVhH',0,0
35066660, u'Eugene Library',8.37408E+17," u""Volunteer @ Friends of #Eugene Library's Book Sale: shifts for adults &amp; teens April 7-9. Thank you! @eugfriends\u2026 https://t.co/xJeuaQVMaR""",0,0
35066660, u'Eugene Library',8.37413E+17, u'#happybirthdaydrseuss https://t.co/0JlsWiBZqI',0,0
35066660, u'Eugene Library',8.37418E+17, u'#Eugene Imagination Library families: send yr story/photos! Info: https://t.co/7A3jqGugAf https://t.co/xK5cXVES9k',0,0
35066660, u'Eugene Library',8.37798E+17," u'TODAY 6pm: Ayana Mathis  author of ""12 Tribes of Hattie "" Friday 3/3 Downtown #Eugene Library #free https://t.co/xXgnEagtTy'",0,0
35066660, u'Eugene Library',8.37799E+17, u'Get to know Dashiell Hammett w/2 #free talks by experts this weekend @ #Eugene Library: https://t.co/7C7E7BfD0F https://t.co/cqpxNyAutG',0,0
35066660, u'Eugene Library',8.39274E+17," u'Classic noir films @BijouArtCinemas for Big Read! Catch ""The Big Sleep"" Thurs. 3/9 7pm. Info &amp; tix:\u2026 https://t.co/TRWYnBKXVW'",0,0
35066660, u'Eugene Library',8.39275E+17," u'Today 6pm: ""Femme Fatale to Tough Gal: Women in Detective Fiction"" w/@uoregon\'s Kathleen O\'Fallon Tues. 3/7 #Eugene\u2026 https://t.co/swoj3tzJuG'",0,0
35066660, u'Eugene Library',8.39554E+17, u'NEW! Daily Maker Hub Open Labs 1p-5p @ Downtown #Eugene Library. 3D printing  robotics  sewing  crafts  more:\u2026 https://t.co/jYYcchiGbK',0,0
35066660, u'Eugene Library',8.39556E+17, u'#InternationalWomensDay https://t.co/aEDLTWOHGf',0,0
35066660, u'Eugene Library',8.39557E+17, u'Thread! #internationalwomensday #IWD17 https://t.co/TU3u7HAjSm',0,0
35066660, u'Eugene Library',8.39557E+17, u'Thread! #internationalwomensday #IWD2017 https://t.co/TU3u7HAjSm',0,0
35066660, u'Eugene Library',8.39595E+17, u'NEW! Maker Hub Open Labs EVERY DAY 1p-5p @ Downtown #Eugene Library. 3D printing  robotics  sewing  crafts  more:\u2026 https://t.co/70vxuboijv',0,0
35066660, u'Eugene Library',8.39595E+17, u'Learn from the Non-Profit Pros! Expert panel Thurs. 3/9 6pm #Eugene Library #free https://t.co/R8kCUBtsRi https://t.co/AESK6Pnwae',0,0
35066660, u'Eugene Library',8.39596E+17, u'Today for tweens: Noisy Science @ Bethel Branch #Eugene Library Wed. 3/8  4pm! Play a banana piano &amp; more. #free\u2026 https://t.co/LFgFuYwgsX',0,0
35066660, u'Eugene Library',8.39598E+17," u'A talk abt film noir\'s ""Gangsters  Goons  Femmes Fatale  &amp; Losers"" w/Steven Brench Sat. 3/11 2pm #Eugene Library\u2026 https://t.co/eeITa3nzCi'",0,0
35066660, u'Eugene Library',8.39599E+17," u'A talk abt film noir\'s ""Gangsters  Goons  Femmes Fatale  &amp; Losers"" w/Steven Brence Sat. 3/11 2pm #Eugene Library\u2026 https://t.co/qtwujOyrLe'",0,0
35066660, u'Eugene Library',8.39675E+17, u'NEW! Maker Hub Open Labs EVERY DAY 1p-5p @ Downtown #Eugene Library. 3D printing  robotics  sewing  crafts  more:\u2026 https://t.co/zLH7qW5oZD',0,0
35066660, u'Eugene Library',8.39675E+17, u'Learn from the Non-Profit Pros! Expert panel Thurs. 3/9 6pm #Eugene Library #free https://t.co/R8kCUBtsRi https://t.co/2bLLUG6aKj',0,0
35066660, u'Eugene Library',8.39676E+17," u'Classic noir films @BijouArtCinemas for Big Read! Catch ""The Big Sleep"" Thurs. 3/9 7pm. Info &amp; tix:\u2026 https://t.co/k25FpNys9z'",0,0
35066660, u'Eugene Library',8.39676E+17," u'A talk abt film noir\'s ""Gangsters  Goons  Femmes Fatale  &amp; Losers"" w/Steven Brence Sat. 3/11 2pm #Eugene Library\u2026 https://t.co/JqkfEq1ntR'",0,0
35066660, u'Eugene Library',8.39916E+17, u'Today 6pm: learn from the Non-Profit Pros! Expert panel Thurs. 3/9 #Eugene Library #free https://t.co/R8kCUBtsRi https://t.co/ncQjAY8kqA',0,0
35066660, u'Eugene Library',8.39955E+17, u'#Free with your #Eugene Library card! https://t.co/LKR7dSylrH',0,0
35066660, u'Eugene Library',8.39956E+17," u""Can you tell me how to get to @sesamestreet? It's easy &amp; #free with @hoopladigital &amp; a #Eugene Library card!\u2026 https://t.co/YdCkdm2HHm""",0,0
35066660, u'Eugene Library',8.39996E+17," u""Can you tell me how to get to @sesamestreet? It's easy &amp; #free with @hoopladigital &amp; a #Eugene Library card!\u2026 https://t.co/aGYbM7IgyR""",0,0
35066660, u'Eugene Library',8.39996E+17," u'Today 7pm @BijouArtCinemas: classic noir film""The Big Sleep"" Thurs. 3/9. Info &amp; tix: https://t.co/nZTIYyj5hE https://t.co/ATYQsjV8p3'",0,0
34720331, u'Beinecke Library',8.35982E+17, u'From the archvies: Marlon Brando photographed by Carl Van Vechten in 1948  4 years before 1st of his 8 #Oscars noms\u2026 https://t.co/wxawaSa9i6',0,0
34720331, u'Beinecke Library',8.36002E+17, u'Fashion designers  or #RedCarpet from the archives: Wesley Tann &amp; Pierre Balmain photographed by Carl Van Vechten v\u2026 https://t.co/JVkRlUp8WC',0,0
34720331, u'Beinecke Library',8.36014E+17," u""Verne  Swarup  du Maurier +++ most #Oscars best pics based on books  incl 1949's All The King's Men; RPW papers:\u2026 https://t.co/VbVVWoGyWN""",0,0
34720331, u'Beinecke Library',8.36017E+17, u'Oscar-nominated \u2018Fences\u2019 has @Yale @YaleRep roots &amp; living legacy @YCAL_JWJ https://t.co/rYOxWynnrn #Oscars',0,0
34720331, u'Beinecke Library',8.36072E+17, u'KUDOS on #Oscars to @octarell #YaleAlumni  2013 @WindhamCampbell Prize Winner  for #Oscars2017 screenplay\u2026 https://t.co/mHECqOtS86',0,0
34720331, u'Beinecke Library',8.36198E+17, u'Leith on language: The joy of an unreadable book https://t.co/Na7WyEeCCj\nVoynich @YalePress via @questingvole @prospect_uk',0,0
34720331, u'Beinecke Library',8.36213E+17," u""More witches! More songs! Davenant's Macbeth: learn more via @serpentine_eve @YaleBookHistory today 4pm\u2026 https://t.co/dcJNLL8pqV""",0,0
34720331, u'Beinecke Library',8.3622E+17, u'Happy birthday to civil rights activist &amp; arts patron @YCAL_JWJ Grace Nail Johnson b. #OnThisDay 2/27/1885\u2026 https://t.co/hzLa5qR8WF',0,0
34720331, u'Beinecke Library',8.36227E+17, u'Visit with Langston Hughes  Zora Neale Hurston &amp; many more in #HarlemRen on view through April 17:\u2026 https://t.co/GJ0Hmf3mAf',0,0
34720331, u'Beinecke Library',8.36236E+17," u""Macbeth : a tragedy  as it is now acted at the Duke's theatre  1674: https://t.co/A9sxF12aqK\nLearn more at #MondaysAtBeinecke 4pm today""",0,0
34720331, u'Beinecke Library',8.36251E+17, u'In the classrooms today: Significance of American Slavery; Latin Paleography; Introduction to Research in Medieval History',0,0
34720331, u'Beinecke Library',8.36266E+17, u'Visit with Langston Hughes  Zora Neale Hurston &amp; many more in #HarlemRen on view through April 17:\u2026 https://t.co/EWtQ3yS7Tl',0,0
34720331, u'Beinecke Library',8.36289E+17," u""Tip: if it's Monday afternoon in term time  come by Beinecke at 4 pm to learn and enjoy gallery talk &amp; tea!\u2026 https://t.co/FxbKdHGoSJ""",0,0
34720331, u'Beinecke Library',8.36304E+17, u'Now is exciting time of year: @WindhamCampbell prize announcement March 1! 2017 esp exciting  w/ poetry joining drama  fiction &amp; nonfiction',0,0
34720331, u'Beinecke Library',8.36321E+17," u""Now #MondaysAtBeinecke: @serpentine_eve '17 on Davenant's Macbeth https://t.co/dmVvuqlbly""",0,0
34720331, u'Beinecke Library',8.36334E+17, u'Medieval to early modern manuscript #makerspace in the Beinecke https://t.co/kGlJhOoRRH',0,0
34720331, u'Beinecke Library',8.3656E+17, u'Today  4:30 pm @YaleWHC: US premier of documentary on Movement of 1977 in Italy https://t.co/c4aS6zjBUv\u2026 https://t.co/kaa1DZsXig',0,0
34720331, u'Beinecke Library',8.36566E+17, u'Everyday a good to day to celebrate &amp; support public libraries  esp #MardiGras #NHV: @NHFPL party tonight 5:30 pm\u2026 https://t.co/BaiZh2MGAB',0,0
34720331, u'Beinecke Library',8.36575E+17, u'Which writers will win 2017 @WindhamCampbell??? Find out tomorrow  March 1: https://t.co/yYlIscP0zL https://t.co/gey4LN24Ya',0,0
34720331, u'Beinecke Library',8.36591E+17, u'Events upcoming this week at Beinecke: https://t.co/jucaKcwLQT @YaleMusic @YaleAstronomy @YCAL_JWJ https://t.co/neLhZTgup8',0,0
34720331, u'Beinecke Library',8.36606E+17," u""See Langston Hughes' rent party cards and much more: #HarlemRen show on view through April 17\u2026 https://t.co/iCUkDaEmD9""",0,0
34720331, u'Beinecke Library',8.36621E+17," u'John Tenniel  b 28 Feb 1820; here: https://t.co/h9KpEBFEsn nursery ""Alice "" containing 20 coloured enlargements fro\u2026 https://t.co/sFTovbyu3n'",0,0
34720331, u'Beinecke Library',8.36651E+17," u""We're excited about Alice Neel  Uptown @davidzwirner NYC curated by Hilton Als https://t.co/zZXSAgqEmT @YCAL_JWJ @WindhamCampbell""",0,0
34720331, u'Beinecke Library',8.36675E+17, u'Book: Gather Out of Star-Dust https://t.co/IHyUyEVlIo #HarlemRen @YCAL_JWJ @mochiteach @YalePress @YALEAFAMstudies @yalelibrary',0,0
34720331, u'Beinecke Library',8.36681E+17, u'Great shots of BRBL via @ilovenewhaven https://t.co/jcKjJIqCGa #NHV #gscia #HarlemRen',0,0
34720331, u'Beinecke Library',8.373E+17, u'TODAY  4pm: realizing #LangstonHughes for the concert and theater stage https://t.co/C61nRbYcuK #HarlemRen\u2026 https://t.co/DrviJngQQP',0,0
34720331, u'Beinecke Library',8.37315E+17, u'A score &amp; many more events throughout spring at Beinecke  always free &amp; open to all: https://t.co/hf9Ir2P65G #NHV\u2026 https://t.co/rH1j7Mg5P6',0,0
34720331, u'Beinecke Library',8.3733E+17, u'#HarlemRen exhibition on view thru April 17: https://t.co/9xBQ2MI9WA @YCAL_JWJ seen here: 1917 silent protest parad\u2026 https://t.co/4ubGTpL0DA',0,0
34720331, u'Beinecke Library',8.37346E+17, u'ICYMI: read about the eight writers who won 2017 @WindhamCampbell Prizes: https://t.co/SABksdp8OI @Yale\u2026 https://t.co/dCqu1jRzvq',0,0
34720331, u'Beinecke Library',8.37353E+17, u'Major prize announcements are MAJOR work. All BRBL salutes colleagues @pblossomhwy &amp; Megan Eckerle &amp; friend @luxlotus @WindhamCampbell 2017!',0,0
34720331, u'Beinecke Library',8.37376E+17," u""On #NationalReadAcrossAmericaDay  and every day  we celebrate the value &amp; vitality of children's literature: https://t.co/E7ksMiqxIP""",0,0
34720331, u'Beinecke Library',8.37391E+17," u""Story Time: Essays on the Betsy Beinecke Shirley Collection of American Children's Literature\u2026 https://t.co/5epFsctxve""",0,0
34720331, u'Beinecke Library',8.37406E+17, u'In the classrooms today: Practice of Literary Translation; Writing About Food; How to Look at Space; Spanish Colonial Arch &amp; Urbanism &amp; more',0,0
34720331, u'Beinecke Library',8.37421E+17, u'Tomorrow  Friday  March 3: epic event w/ Willie Ruff &amp; @Meg_Urry https://t.co/ls00v6lcIo @YaleMusic @YaleAstronomy @YaleLibrary @YaleFaculty',0,0
34720331, u'Beinecke Library',8.37436E+17, u'Thank you to our now more than 5 000 followers @instagram \nhttps://t.co/SA50UoPDr7\n@YCAL_JWJ @yalebookhistory',0,0
34720331, u'Beinecke Library',8.37451E+17, u'#HarlemRen on view through April 17! Gather Out of Star-Dust: The Harlem Renaissance https://t.co/9xBQ2MI9WA\u2026 https://t.co/wZS90C98h1',0,0
34720331, u'Beinecke Library',8.37481E+17, u'Every Saturday  through Saturday  April 15: intro tours to BRBL &amp; #HarlemRen exhibition https://t.co/7Cj1QZExJg https://t.co/6OJVJiLHVJ',0,0
34720331, u'Beinecke Library',8.37647E+17," u'Today  4pm  a truly ""only @Yale"" event: Willie Ruff @YaleMusic &amp; @Meg_Urry @YaleAstronomy on Harmony of the World https://t.co/jOS9ENstSB'",0,0
34720331, u'Beinecke Library',8.37663E+17, u'Every Saturday  through Saturday  April 15: intro tours to BRBL &amp; #HarlemRen exhibition https://t.co/7Cj1QZExJg https://t.co/yik0hXifqu',0,0
34720331, u'Beinecke Library',8.37693E+17, u'ICYMI: Lifting every voice in two exhibits at Beinecke &amp; @YaleArtGallery via @BostonGlobe https://t.co/pkCalvu1aR',0,0
